194.213.18.66, 194.213.18.66, US
85.239.63.73, 85.239.63.73, GB
45.86.230.154, 45.86.230.154, US
85.239.61.73, 2a10:1fc0:7::b835:5ab2, GB
213.255.246.36, 2a0a:8dc0:22::a, GB
45.86.230.84, 45.86.230.84, US
91.231.186.167, 91.231.186.167, GB
194.213.18.48, 194.213.18.48, US
91.231.186.190, 91.231.186.190, GB
