211.21.210.55, 211.21.210.55, TW
111.247.40.240, 111.247.40.240, TW
36.227.110.19, 2001:b011:380e:57f:5ca5:2181:b2ee:42ac, TW
114.37.205.33, 114.37.205.33, TW
220.130.80.179, 220.130.80.179, TW
